學校,年度,科目,題號,單元,題型,答案,答案來源,官方釋疑,阿摩狀態,詳解,題目圖,詳解連結,審圖狀態,備註
慈濟大學,112,化學,29,,完整題圖,B,官方參考答案,未釋疑,阿摩需登入,,E:\我的雲端硬碟\codex\後中醫\化學\questions\images\TCU\112\chemistry\q029\TCU_112_chem_q029_full.png,,已抽查,TCU 112 PDF was cropped with manual coordinates.
慈濟大學,112,化學,30,,完整題圖,B,官方參考答案,未釋疑,阿摩需登入,,E:\我的雲端硬碟\codex\後中醫\化學\questions\images\TCU\112\chemistry\q030\TCU_112_chem_q030_full.png,,已抽查,TCU 112 PDF was cropped with manual coordinates.
慈濟大學,112,化學,31,,完整題圖,B,官方參考答案,未釋疑,阿摩需登入,,E:\我的雲端硬碟\codex\後中醫\化學\questions\images\TCU\112\chemistry\q031\TCU_112_chem_q031_full.png,,已抽查,TCU 112 PDF was cropped with manual coordinates.
慈濟大學,112,化學,32,,完整題圖,B,官方參考答案,未釋疑,阿摩需登入,,E:\我的雲端硬碟\codex\後中醫\化學\questions\images\TCU\112\chemistry\q032\TCU_112_chem_q032_full.png,,已抽查,TCU 112 PDF was cropped with manual coordinates.
慈濟大學,112,化學,33,,完整題圖,D,官方參考答案,未釋疑,阿摩需登入,,E:\我的雲端硬碟\codex\後中醫\化學\questions\images\TCU\112\chemistry\q033\TCU_112_chem_q033_full.png,,已抽查,TCU 112 PDF was cropped with manual coordinates.
慈濟大學,112,化學,34,,完整題圖,B,官方參考答案,未釋疑,阿摩需登入,,E:\我的雲端硬碟\codex\後中醫\化學\questions\images\TCU\112\chemistry\q034\TCU_112_chem_q034_full.png,,已抽查,TCU 112 PDF was cropped with manual coordinates.
慈濟大學,112,化學,35,,完整題圖,D,官方參考答案,未釋疑,阿摩需登入,,E:\我的雲端硬碟\codex\後中醫\化學\questions\images\TCU\112\chemistry\q035\TCU_112_chem_q035_full.png,,已抽查,TCU 112 PDF was cropped with manual coordinates.
慈濟大學,112,化學,36,,完整題圖,A,官方參考答案,未釋疑,阿摩需登入,,E:\我的雲端硬碟\codex\後中醫\化學\questions\images\TCU\112\chemistry\q036\TCU_112_chem_q036_full.png,,已抽查,TCU 112 PDF was cropped with manual coordinates.
慈濟大學,112,化學,37,,完整題圖,B,官方參考答案,未釋疑,阿摩需登入,,E:\我的雲端硬碟\codex\後中醫\化學\questions\images\TCU\112\chemistry\q037\TCU_112_chem_q037_full.png,,已抽查,TCU 112 PDF was cropped with manual coordinates.
慈濟大學,112,化學,38,,完整題圖,B,官方參考答案,未釋疑,阿摩需登入,,E:\我的雲端硬碟\codex\後中醫\化學\questions\images\TCU\112\chemistry\q038\TCU_112_chem_q038_full.png,,已抽查,TCU 112 PDF was cropped with manual coordinates.
慈濟大學,112,化學,39,,完整題圖,D,官方參考答案/釋疑,釋疑後改答案：原公告A，修正為D,阿摩需登入,,E:\我的雲端硬碟\codex\後中醫\化學\questions\images\TCU\112\chemistry\q039\TCU_112_chem_q039_full.png,,已抽查,TCU 112 PDF was cropped with manual coordinates.；官方釋疑：釋疑後改答案：原公告A，修正為D
慈濟大學,112,化學,40,,完整題圖,D,官方參考答案,未釋疑,阿摩需登入,,E:\我的雲端硬碟\codex\後中醫\化學\questions\images\TCU\112\chemistry\q040\TCU_112_chem_q040_full.png,,已抽查,TCU 112 PDF was cropped with manual coordinates.
慈濟大學,112,化學,41,,完整題圖,C,官方參考答案,未釋疑,阿摩需登入,,E:\我的雲端硬碟\codex\後中醫\化學\questions\images\TCU\112\chemistry\q041\TCU_112_chem_q041_full.png,,已抽查,TCU 112 PDF was cropped with manual coordinates.
慈濟大學,112,化學,42,,完整題圖,A,官方參考答案,未釋疑,阿摩需登入,,E:\我的雲端硬碟\codex\後中醫\化學\questions\images\TCU\112\chemistry\q042\TCU_112_chem_q042_full.png,,已抽查,TCU 112 PDF was cropped with manual coordinates.
慈濟大學,112,化學,43,,完整題圖,A,官方參考答案,未釋疑,阿摩需登入,,E:\我的雲端硬碟\codex\後中醫\化學\questions\images\TCU\112\chemistry\q043\TCU_112_chem_q043_full.png,,已抽查,TCU 112 PDF was cropped with manual coordinates.
慈濟大學,112,化學,44,,完整題圖,A,官方參考答案,未釋疑,阿摩需登入,,E:\我的雲端硬碟\codex\後中醫\化學\questions\images\TCU\112\chemistry\q044\TCU_112_chem_q044_full.png,,已抽查,TCU 112 PDF was cropped with manual coordinates.
慈濟大學,112,化學,45,,完整題圖,C,官方參考答案,未釋疑,阿摩需登入,,E:\我的雲端硬碟\codex\後中醫\化學\questions\images\TCU\112\chemistry\q045\TCU_112_chem_q045_full.png,,已抽查,TCU 112 PDF was cropped with manual coordinates.
慈濟大學,112,化學,46,,完整題圖,B,官方參考答案,未釋疑,阿摩需登入,,E:\我的雲端硬碟\codex\後中醫\化學\questions\images\TCU\112\chemistry\q046\TCU_112_chem_q046_full.png,,已抽查,TCU 112 PDF was cropped with manual coordinates.
慈濟大學,112,化學,47,,完整題圖,D,官方參考答案,未釋疑,阿摩需登入,,E:\我的雲端硬碟\codex\後中醫\化學\questions\images\TCU\112\chemistry\q047\TCU_112_chem_q047_full.png,,已抽查,TCU 112 PDF was cropped with manual coordinates.
慈濟大學,112,化學,48,,完整題圖,D,官方參考答案,未釋疑,阿摩需登入,,E:\我的雲端硬碟\codex\後中醫\化學\questions\images\TCU\112\chemistry\q048\TCU_112_chem_q048_full.png,,已抽查,TCU 112 PDF was cropped with manual coordinates.
慈濟大學,112,化學,49,,完整題圖,A,官方參考答案,未釋疑,阿摩需登入,,E:\我的雲端硬碟\codex\後中醫\化學\questions\images\TCU\112\chemistry\q049\TCU_112_chem_q049_full.png,,已抽查,TCU 112 PDF was cropped with manual coordinates.
慈濟大學,112,化學,50,,完整題圖,C,官方參考答案,未釋疑,阿摩需登入,,E:\我的雲端硬碟\codex\後中醫\化學\questions\images\TCU\112\chemistry\q050\TCU_112_chem_q050_full.png,,已抽查,TCU 112 PDF was cropped with manual coordinates.
