學校,年度,科目,題號,單元,題型,答案,答案來源,官方釋疑,阿摩狀態,詳解,題目圖,詳解連結,審圖狀態,備註
慈濟大學,114,化學,39,,單選題,B,官方參考答案,未釋疑,阿摩需登入,,E:\我的雲端硬碟\codex\後中醫\化學\questions\images\TCU\114\chemistry\q039\TCU_114_chem_q039_full.png,,已建置,慈濟大學114化學完整題圖；每題單張圖片包含題幹與所有選項。
慈濟大學,114,化學,40,,單選題,A,官方參考答案,未釋疑,阿摩需登入,,E:\我的雲端硬碟\codex\後中醫\化學\questions\images\TCU\114\chemistry\q040\TCU_114_chem_q040_full.png,,已建置,慈濟大學114化學完整題圖；每題單張圖片包含題幹與所有選項。
慈濟大學,114,化學,41,,單選題,D,官方參考答案,未釋疑,阿摩需登入,,E:\我的雲端硬碟\codex\後中醫\化學\questions\images\TCU\114\chemistry\q041\TCU_114_chem_q041_full.png,,已建置,慈濟大學114化學完整題圖；每題單張圖片包含題幹與所有選項。
慈濟大學,114,化學,42,,單選題,A,官方參考答案,未釋疑,阿摩需登入,,E:\我的雲端硬碟\codex\後中醫\化學\questions\images\TCU\114\chemistry\q042\TCU_114_chem_q042_full.png,,已建置,慈濟大學114化學完整題圖；每題單張圖片包含題幹與所有選項。
慈濟大學,114,化學,43,,單選題,A,官方參考答案,未釋疑,阿摩需登入,,E:\我的雲端硬碟\codex\後中醫\化學\questions\images\TCU\114\chemistry\q043\TCU_114_chem_q043_full.png,,已建置,慈濟大學114化學完整題圖；每題單張圖片包含題幹與所有選項。
慈濟大學,114,化學,44,,單選題,B,官方參考答案,未釋疑,阿摩需登入,,E:\我的雲端硬碟\codex\後中醫\化學\questions\images\TCU\114\chemistry\q044\TCU_114_chem_q044_full.png,,已建置,慈濟大學114化學完整題圖；每題單張圖片包含題幹與所有選項。
慈濟大學,114,化學,45,,單選題,A,官方參考答案,未釋疑,阿摩需登入,,E:\我的雲端硬碟\codex\後中醫\化學\questions\images\TCU\114\chemistry\q045\TCU_114_chem_q045_full.png,,已建置,慈濟大學114化學完整題圖；每題單張圖片包含題幹與所有選項。
慈濟大學,114,化學,46,,單選題,A,官方參考答案,未釋疑,阿摩需登入,,E:\我的雲端硬碟\codex\後中醫\化學\questions\images\TCU\114\chemistry\q046\TCU_114_chem_q046_full.png,,已建置,慈濟大學114化學完整題圖；每題單張圖片包含題幹與所有選項。
慈濟大學,114,化學,47,,單選題,D,官方參考答案,未釋疑,阿摩需登入,,E:\我的雲端硬碟\codex\後中醫\化學\questions\images\TCU\114\chemistry\q047\TCU_114_chem_q047_full.png,,已建置,慈濟大學114化學完整題圖；每題單張圖片包含題幹與所有選項。
慈濟大學,114,化學,48,,單選題,B,官方參考答案,未釋疑,阿摩需登入,,E:\我的雲端硬碟\codex\後中醫\化學\questions\images\TCU\114\chemistry\q048\TCU_114_chem_q048_full.png,,已建置,慈濟大學114化學完整題圖；每題單張圖片包含題幹與所有選項。
慈濟大學,114,化學,49,,單選題,B,官方參考答案,未釋疑,阿摩需登入,,E:\我的雲端硬碟\codex\後中醫\化學\questions\images\TCU\114\chemistry\q049\TCU_114_chem_q049_full.png,,已建置,慈濟大學114化學完整題圖；每題單張圖片包含題幹與所有選項。
慈濟大學,114,化學,50,,單選題,D,官方參考答案,未釋疑,阿摩需登入,,E:\我的雲端硬碟\codex\後中醫\化學\questions\images\TCU\114\chemistry\q050\TCU_114_chem_q050_full.png,,已建置,慈濟大學114化學完整題圖；每題單張圖片包含題幹與所有選項。
